ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Hour_of_day,Day_of_week,Month,Is_Weekend,Is_Complex_Road,Duration
A-71967,Source2,3,2016-11-14 16:14:29,2016-11-14 16:59:09,34.162254,-118.470932,0.01,Slow traffic due to accident on I-405 Southbound at Exit 63B US-101.,US-101 N,Sherman Oaks,Los Angeles,CA,91403,US,US/Pacific,KVNY,2016-11-14 15:51:00,87.1,15.0,30.01,10.0,SSE,4.6,Clear/Good Weather,False,False,False,False,False,False,False,False,False,False,False,0,False,1,0,0,0,16,0,11,0,0,7.893945138235959
A-179757,Source2,2,2016-12-10 01:34:54,2016-12-10 02:19:11,42.400654,-83.21820799999998,0.01,Left and center lane blocked and left hand shoulder blocked due to accident on M-39 Northbound at Exit 12 Southfield Fwy.,Grand River Ave,Detroit,Wayne,MI,48223,US,US/Eastern,KVLL,2016-12-10 01:35:00,25.7,62.0,30.4,10.0,West,10.4,Cloudy,False,False,False,False,False,False,False,False,False,False,False,1,False,0,0,0,0,1,5,12,1,0,7.88532923927319
A-50680,Source2,2,2016-07-22 15:16:31,2016-07-22 16:01:31,34.002026,-117.834892,0.0,One lane blocked due to accident on CA-60 CA-57 Southbound near Exit 16 CA-60 CA-57.,CA-57 S,Diamond Bar,Los Angeles,CA,91765,US,US/Pacific,KPOC,2016-07-22 14:47:00,102.2,12.0,29.92,10.0,WSW,8.1,Clear/Good Weather,False,False,False,False,False,False,False,False,False,False,False,0,False,1,0,0,0,15,4,7,0,0,7.901377353792616
A-47159,Source2,2,2016-07-07 15:31:41,2016-07-07 16:16:41,33.646851,-117.861092,0.0,Shoulder blocked on exit ramp due to accident on CA-73 Southbound near Exit 14B Jamboree Rd.,CA-73 S,Irvine,Orange,CA,92617,US,US/Pacific,KSNA,2016-07-07 15:53:00,75.0,57.0,29.93,10.0,SW,11.5,Clear/Good Weather,False,False,False,False,False,False,False,False,False,False,False,0,False,1,0,0,0,15,3,7,0,0,7.901377353792616
A-146342,Source2,2,2016-12-01 09:05:17,2016-12-01 09:34:58,33.816216,-84.39035,0.01,Accident on US-19 Peachtree Rd at Peachtree Memorial Dr.,Peachtree Memorial Dr NW,Atlanta,Fulton,GA,30309,US,US/Eastern,KFTY,2016-12-01 08:53:00,44.1,73.0,30.04,10.0,West,5.8,Clear/Good Weather,False,False,False,False,False,False,False,False,False,False,False,0,False,1,0,0,0,9,3,12,0,0,7.485491608030754
A-193974,Source2,2,2016-07-27 14:23:28,2016-07-27 14:53:28,43.085487,-83.51823399999998,0.0,Accident on M-15 State Rd at Clark Rd.,Clark Rd,Davison,Genesee,MI,48423-8587,US,US/Eastern,KFNT,2016-07-27 14:53:00,91.9,37.0,29.94,10.0,North,8.1,Cloudy,False,False,False,False,False,False,False,False,False,False,False,0,False,1,0,0,0,14,2,7,0,0,7.496097345175956
A-45624,Source2,3,2016-06-30 16:12:08,2016-06-30 17:12:08,32.770367,-117.138565,0.0,Accident on I-8 Westbound near Exits 6A 6B I-805. On the median.,I-8 W,San Diego,San Diego,CA,92108,US,US/Pacific,KMYF,2016-06-30 15:53:00,75.0,57.0,29.86,10.0,South,10.4,Clear/Good Weather,False,False,False,False,False,False,False,False,False,False,False,0,False,1,0,0,0,16,3,6,0,0,8.188966863648876
A-46559,Source2,3,2016-07-05 19:41:12,2016-07-05 20:26:12,33.924644,-118.209816,0.0,Accident on I-105 Eastbound near Exit 12 Long Beach Blvd.,I-105 E,Lynwood,Los Angeles,CA,90262,US,US/Pacific,KHHR,2016-07-05 19:53:00,66.9,79.0,29.96,10.0,West,11.5,Unknown,False,False,False,False,False,False,True,False,True,False,False,0,False,1,0,0,0,19,1,7,0,1,7.901377353792616
A-179365,Source2,3,2016-12-06 17:48:00,2016-12-06 18:17:45,42.553341,-82.871391,0.01,Left hand shoulder blocked due to accident on I-94 Eastbound at Exits 234A 234B Harper Ave.,I-94 W,Clinton Township,Macomb,MI,48035,US,US/Eastern,KMTC,2016-12-06 17:58:00,39.4,99.0,29.73,5.0,East,6.9,Cloudy,False,False,False,False,True,False,False,False,False,False,False,0,False,0,0,0,0,17,1,12,0,1,7.487733761436444
A-78412,Source2,2,2016-09-20 12:48:13,2016-09-20 13:32:49,32.780399,-116.948235,0.0,Right hand shoulder blocked due to accident on Chase Ave at Anza St.,Old Chase Ave,El Cajon,San Diego,CA,92020-7738,US,US/Pacific,KSEE,2016-09-20 12:47:00,75.2,94.0,29.96,10.0,Calm,8.1,Cloudy,False,False,False,False,False,False,False,False,False,False,False,0,False,1,0,0,0,12,1,9,0,0,7.892452043520352
